id,name,group,area,chamber,start_date,end_date
103,Ahde Matti,Social Democrats,Oulun,Eduskunta,1975-09-27,1979-03-23
170,Kanerva Ilkka,National Coalition Party,Varsinais-Suomen,Eduskunta,1975-09-27,1979-03-23
259,Salolainen Pertti,National Coalition Party,Helsingin,Eduskunta,1975-09-27,1979-03-23
272,Stenius-Kaukonen Marjatta,Left Alliance,Pirkanmaan,Eduskunta,1975-09-27,1979-03-23
311,Söderman Jacob,Social Democrats,Helsingin,Eduskunta,1975-09-27,1979-03-23
278,Tennilä Esko-Juhani,Left Alliance,Lapin,Eduskunta,1975-09-27,1979-03-23
357,Tuomioja Erkki,Social Democrats,Helsingin,Eduskunta,1975-09-27,1979-03-23
300,Väyrynen Paavo,Finnish Centre Party,Lapin,Eduskunta,1975-09-27,1979-03-23
